producer_cpu,consumer_cpu,producer_socket,consumer_socket,producer_core,consumer_core,producer_smt,consumer_smt,width,round,pinned,throughput_mps
0,2,0,0,0,2,0,0,7,4,1,753.213
0,2,0,0,0,2,0,0,8,0,1,876.362
0,2,0,0,0,2,0,0,8,1,1,884.012
0,2,0,0,0,2,0,0,8,2,1,902.523
0,2,0,0,0,2,0,0,8,3,1,924.83
0,2,0,0,0,2,0,0,8,4,1,912.994
0,3,0,0,0,3,0,0,0,0,1,299.078
0,3,0,0,0,3,0,0,0,1,1,300.571
0,3,0,0,0,3,0,0,0,2,1,298.942
0,3,0,0,0,3,0,0,0,3,1,299.664
0,3,0,0,0,3,0,0,0,4,1,299.385
0,3,0,0,0,3,0,0,1,0,1,299.859
0,3,0,0,0,3,0,0,1,1,1,299.144
0,3,0,0,0,3,0,0,1,2,1,298.613
0,3,0,0,0,3,0,0,1,3,1,301.26
0,3,0,0,0,3,0,0,1,4,1,298.497
0,3,0,0,0,3,0,0,2,0,1,351.748
0,3,0,0,0,3,0,0,2,1,1,351.405
0,3,0,0,0,3,0,0,2,2,1,352.157
0,3,0,0,0,3,0,0,2,3,1,353.603
0,3,0,0,0,3,0,0,2,4,1,351.63
0,3,0,0,0,3,0,0,3,0,1,493.02
0,3,0,0,0,3,0,0,3,1,1,494.86
0,3,0,0,0,3,0,0,3,2,1,491.366
0,3,0,0,0,3,0,0,3,3,1,489.925
0,3,0,0,0,3,0,0,3,4,1,491.285
0,3,0,0,0,3,0,0,4,0,1,789.402
0,3,0,0,0,3,0,0,4,1,1,788.542
0,3,0,0,0,3,0,0,4,2,1,785.245
0,3,0,0,0,3,0,0,4,3,1,798.311
0,3,0,0,0,3,0,0,4,4,1,787.854
0,3,0,0,0,3,0,0,5,0,1,698.954
0,3,0,0,0,3,0,0,5,1,1,687.18
0,3,0,0,0,3,0,0,5,2,1,695.445
0,3,0,0,0,3,0,0,5,3,1,701.862
0,3,0,0,0,3,0,0,5,4,1,693.63
0,3,0,0,0,3,0,0,6,0,1,742.421
0,3,0,0,0,3,0,0,6,1,1,748.742
0,3,0,0,0,3,0,0,6,2,1,735.112
0,3,0,0,0,3,0,0,6,3,1,736.964
0,3,0,0,0,3,0,0,6,4,1,730.765
0,3,0,0,0,3,0,0,7,0,1,746.907
0,3,0,0,0,3,0,0,7,1,1,746.07
0,3,0,0,0,3,0,0,7,2,1,726.541
0,3,0,0,0,3,0,0,7,3,1,735.518
0,3,0,0,0,3,0,0,7,4,1,734.821
0,3,0,0,0,3,0,0,8,0,1,907.011
0,3,0,0,0,3,0,0,8,1,1,865.036
0,3,0,0,0,3,0,0,8,2,1,859.749
0,3,0,0,0,3,0,0,8,3,1,891.086
0,3,0,0,0,3,0,0,8,4,1,899.761
1,0,0,0,1,0,0,0,0,0,1,291.082
1,0,0,0,1,0,0,0,0,1,1,298.181
1,0,0,0,1,0,0,0,0,2,1,299.628
1,0,0,0,1,0,0,0,0,3,1,297.382
1,0,0,0,1,0,0,0,0,4,1,297.983
1,0,0,0,1,0,0,0,1,0,1,295.302
1,0,0,0,1,0,0,0,1,1,1,298.307
1,0,0,0,1,0,0,0,1,2,1,299.879
1,0,0,0,1,0,0,0,1,3,1,298.128
1,0,0,0,1,0,0,0,1,4,1,300.159
1,0,0,0,1,0,0,0,2,0,1,350.719
1,0,0,0,1,0,0,0,2,1,1,352.371
1,0,0,0,1,0,0,0,2,2,1,350.316
1,0,0,0,1,0,0,0,2,3,1,354.358
1,0,0,0,1,0,0,0,2,4,1,349.728
1,0,0,0,1,0,0,0,3,0,1,486.44
1,0,0,0,1,0,0,0,3,1,1,489.247
1,0,0,0,1,0,0,0,3,2,1,486.522
1,0,0,0,1,0,0,0,3,3,1,485.608
1,0,0,0,1,0,0,0,3,4,1,485.275
1,0,0,0,1,0,0,0,4,0,1,802.643
1,0,0,0,1,0,0,0,4,1,1,796.29
1,0,0,0,1,0,0,0,4,2,1,790.978
1,0,0,0,1,0,0,0,4,3,1,789.731
1,0,0,0,1,0,0,0,4,4,1,795.85
1,0,0,0,1,0,0,0,5,0,1,685.606
1,0,0,0,1,0,0,0,5,1,1,687.767
1,0,0,0,1,0,0,0,5,2,1,681.294
1,0,0,0,1,0,0,0,5,3,1,685.266
1,0,0,0,1,0,0,0,5,4,1,688.144
1,0,0,0,1,0,0,0,6,0,1,727.631
1,0,0,0,1,0,0,0,6,1,1,736.66
1,0,0,0,1,0,0,0,6,2,1,742.673
1,0,0,0,1,0,0,0,6,3,1,732.474
1,0,0,0,1,0,0,0,6,4,1,717.425
1,0,0,0,1,0,0,0,7,0,1,726.876
1,0,0,0,1,0,0,0,7,1,1,737.998
1,0,0,0,1,0,0,0,7,2,1,722.752
1,0,0,0,1,0,0,0,7,3,1,733.208
1,0,0,0,1,0,0,0,7,4,1,735.588
1,0,0,0,1,0,0,0,8,0,1,831.194
1,0,0,0,1,0,0,0,8,1,1,836.741
1,0,0,0,1,0,0,0,8,2,1,829.042
1,0,0,0,1,0,0,0,8,3,1,837.513
1,0,0,0,1,0,0,0,8,4,1,885.983
1,2,0,0,1,2,0,0,0,0,1,294.156
1,2,0,0,1,2,0,0,0,1,1,300.517
1,2,0,0,1,2,0,0,0,2,1,299.482
