producer_cpu,consumer_cpu,producer_socket,consumer_socket,producer_core,consumer_core,producer_smt,consumer_smt,width,round,pinned,throughput_mps,effective_transfers,calibration_millis
1,3,0,0,1,3,0,0,0,3,1,56.6838745871,33222840,2.169369
1,3,0,0,1,3,0,0,0,4,1,59.4000248204,33222840,2.169369
1,4,0,0,1,4,0,0,0,0,1,279.304141662,26486040,2.721201
1,4,0,0,1,4,0,0,0,1,1,283.178764178,26486040,2.721201
1,4,0,0,1,4,0,0,0,2,1,281.854936403,26486040,2.721201
1,4,0,0,1,4,0,0,0,3,1,279.554509041,26486040,2.721201
1,4,0,0,1,4,0,0,0,4,1,272.549874128,26486040,2.721201
1,5,0,0,1,5,0,0,0,0,1,346.704630873,30366840,2.373421
1,5,0,0,1,5,0,0,0,1,1,349.299270936,30366840,2.373421
1,5,0,0,1,5,0,0,0,2,1,346.4474901,30366840,2.373421
1,5,0,0,1,5,0,0,0,3,1,324.724264958,30366840,2.373421
1,5,0,0,1,5,0,0,0,4,1,346.89089048,30366840,2.373421
1,6,0,0,1,6,0,0,0,0,1,359.903529154,32336640,2.228846
1,6,0,0,1,6,0,0,0,1,1,348.519310483,32336640,2.228846
1,6,0,0,1,6,0,0,0,2,1,328.050282247,32336640,2.228846
1,6,0,0,1,6,0,0,0,3,1,331.371863739,32336640,2.228846
1,6,0,0,1,6,0,0,0,4,1,327.299704562,32336640,2.228846
1,7,0,0,1,7,0,0,0,0,1,341.237053581,33255600,2.167229
1,7,0,0,1,7,0,0,0,1,1,336.334257974,33255600,2.167229
1,7,0,0,1,7,0,0,0,2,1,351.285024548,33255600,2.167229
1,7,0,0,1,7,0,0,0,3,1,301.877127161,33255600,2.167229
1,7,0,0,1,7,0,0,0,4,1,316.23601734,33255600,2.167229
1,8,0,1,1,0,0,0,0,0,1,78.7731491654,15455160,4.663309
1,8,0,1,1,0,0,0,0,1,1,145.040355337,15455160,4.663309
1,8,0,1,1,0,0,0,0,2,1,83.4066437132,15455160,4.663309
1,8,0,1,1,0,0,0,0,3,1,115.695986763,15455160,4.663309
1,8,0,1,1,0,0,0,0,4,1,75.680629795,15455160,4.663309
1,9,0,1,1,1,0,0,0,0,1,62.152516269,16469880,4.376015
1,9,0,1,1,1,0,0,0,1,1,75.4493602171,16469880,4.376015
1,9,0,1,1,1,0,0,0,2,1,71.2938995547,16469880,4.376015
1,9,0,1,1,1,0,0,0,3,1,85.4182828685,16469880,4.376015
1,9,0,1,1,1,0,0,0,4,1,87.6121189285,16469880,4.376015
1,10,0,1,1,2,0,0,0,0,1,122.724700307,7142520,10.091328
1,10,0,1,1,2,0,0,0,1,1,96.7185875326,7142520,10.091328
1,10,0,1,1,2,0,0,0,2,1,94.8100858747,7142520,10.091328
1,10,0,1,1,2,0,0,0,3,1,69.8653970232,7142520,10.091328
1,10,0,1,1,2,0,0,0,4,1,101.098869803,7142520,10.091328
1,11,0,1,1,3,0,0,0,0,1,71.6027597713,9041760,7.971146
1,11,0,1,1,3,0,0,0,1,1,73.1512378477,9041760,7.971146
1,11,0,1,1,3,0,0,0,2,1,80.2909361843,9041760,7.971146
1,11,0,1,1,3,0,0,0,3,1,70.32094274,9041760,7.971146
1,11,0,1,1,3,0,0,0,4,1,62.4975898356,9041760,7.971146
